agent,gender,age,status,origin
Perdiccas,male,mature,power-holder,Macedonian
Representatives of the other Dorians of Sicily,male,mature/old,power-holder,various
Thebans,male,any adult age,free,Theban
Other Archai,male,mature,power-holder,Bottiaean
Euxitheus,male,mature,free,Metic
Daedalus,male,mature,free,Cretan
Pasiphae,female,mature,power-holder,Cretan
Thespians,male,any adult age,free,Thespian
Licymnios,male,mature,power-holder,Greek
Protagoras,male,mature/old,free,Abderan
First Creditor,male,mature,free,Athenian
Tiribazus,male,mature,power-holder,Persian
Prosecutors,male,any adult age,free,Athenian
The Greeks who fought against the Persians,male,any adult age,free,various
Pindar,male,mature,free,Boeotian
Young men,male,adolescent,free,Thasian
Ariaeus,male,mature,power-holder,Persian
Highest Persian officers,male,mature,power-holder,Persian
Hystaspas,male,mature,free,Persian
Lysicrates of Oenoe,male,mature/old,power-holder,Athenian
Antimachus,male,mature/old,power-holder,Athenian
Thrason of Erchia,male,mature/old,power-holder,Athenian
Cetriporis,male,mature,power-holder,Thracian
Representative of the Persian King,male,mature/old,power-holder,Persian
Hypereides,male,mature/old,free,Athenian
Demiourgoi,male,mature/old,power-holder,Mantinean
Theoroi,male,mature/old,power-holder,Mantinean
Polemarchs,male,mature/old,power-holder,Mantinean
Witnesses for the defence,male,any adult age,free,Athenian
Witnesses on behalf of Euxitheus,male,any adult age,free,Athenian
Another imaginary Athenian,male,any adult age,free,Athenian
Hipponax's friend,male,mature,free,Ephesian?
Hipponax,male,mature,free,Ephesian
Eurysthenes,male,mature,power-holder,Spartan
Spartans,male,any adult age,free,Spartan
Fathers of new deme members,male,mature/old,free,Athenian
The other Greeks who fought against the Persians,male,mature/old,free,various
Representatives of the poleis in Ceos,male,mature/old,power-holder,Cean
Mantias,male,mature/old,free,Athenian
The owner of the dead animal,male,mature,free,Gortynian
Aristodicus,male,mature/old,free,Athenian
Theaetetus,male,adolescent,free,Athenian
Phratry members,male,any adult age,free,Athenian
Eleusinians,male,any adult age,free,Athenian
Members of the Peloponnesian League,male,any adult age,free,various
Hierocles,male,mature,free,Athenian
Someone,male,unknown,unknown,unknown
Helen,female,mature,free,Spartan
Menelaus,male,mature,free,Spartan
Peloponnesian kings,male,any adult age,power-holder,various
Hyllus,male,mature,power-holder,none
Demon,male,mature,free,Athenian
Eurycleia,female,old,chattel-slave,n/a
